Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Alteco AI,Alteco AI Energy Optimization Predictive Tools,2020,"B2B, B2G",1-10,Seed,$1M,", , , , , , , , , , , , , , , , iot, saas, manufacturing-facilities"
Altooro,Altooro AI-based Coding Assessment Platform,2020,B2B,1-10,Seed,$2.5M,", , , , , , enterprise-solutions, artificial-intelligence"
AlwaysConnect,AlwaysConnect AI-Driven SDK Ensures Seamless Device Connectivity,2021,B2B,1-10,Pre-Funding,Undisclosed,", , saas, communications"
Amenity Analytics,Amenity Analytics ACQUIRED Text Analytics,2015,B2B,11-50,Acquired,$25.6M,", , , , , , , , , , , natural-language-processing, business-intelligence"
Amphorica,Amphorica AI-Powered Optimization For Enhanced Enterprise Performance,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , productivity, smart-mobility"
AmplifAIr,AmplifAIr Insurance and Credit Risk Model Decision Insights,2022,"B2B, B2G",1-10,Seed,Undisclosed,", , insurtech, artificial-intelligence, banks"
Amplio,Amplio Special Education Learning Platform,2014,"B2B, B2B2C, B2G",51-200,B,$36.1M,", , , , , , , , , , , , , , , , , , , , , treatments, government"
Amygdala,Amygdala Reaching the Core of Mental Health,2022,B2B,1-10,Pre-Funding,Undisclosed,", , , , , brain-disorder, artificial-intelligence"
AMYGDALA,AMYGDALA Failure Prediction Technology for the Railway Industry,2019,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , alert-system, predictive-maintenance"
Anachoic,Anachoic Head-mounted Assistance System,2018,"B2B2C, B2G",1-10,Seed,$3.05M,", , , , road-safety, artificial-intelligence, sensors"
Aneuscreen,Aneuscreen Decision-support System for the Early Detection of Brain Aneurysms,2017,B2B,1-10,Seed,$1.22M,", , , , , , , , , , , , , early-detection, brain-disorder"
Anima App,Anima App Design to Development Platform,2016,"B2B, B2C",51-200,A,$12.62M,", , , , , , , developers, software-applications"
Anima Biotech,Anima Biotech Small-molecule mRNA Drug Discovery,2014,B2B,51-200,Seed,$30M,", , , , , , , , , , , pharma-companies, patent-pending"
Animo,Animo Analysis and Optimization of Businesses' Offline Media Activity,2019,B2B,1-10,Seed,$1.5M,", , , , , , , , , saas, social-media"
Animoove,Animoove Animated Communication Platform,2016,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , communications, mobile-applications"
Ann,Ann Learning Optimization SaaS for Educational Institutions,2018,B2B,11-50,Seed,$1M,", , , , , , , , , , , , , , , , , academia, self-learning"
Annoto,Annoto Engagement and Collaboration Tools for Websites with Video Content,2015,"B2B, B2B2C",11-50,Seed,$0,", , , , , , , , , , , , , , , , , content-providers, e-learning, k-12"
Anodot,Anodot Autonomous Business Monitoring and Analytics,2014,B2B,51-200,C,$72.5M,", , , , , , , , , , , , , , , , , , , , natural-language-processing, mobile-applications"
Ansā,Ansā Zero-pollution Coffee Roasting Solution,2019,B2B,11-50,A,$15M,", , , , , , , home-appliances, food-and-beverage"
AntisepTech,AntisepTech Digital Platform for Infectious Disease Prevention,2015,B2B,1-10,Pre-Funding,$150K,", , , , , , , , , , healthcare, infectious-disease, seniors"
ANYCAN TECHNOLOGY,ANYCAN TECHNOLOGY Mobility and Balance Platform,2021,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , cloud-based, artificial-intelligence"
AnyClip,AnyClip Visual Intelligence,2006,B2B,201-500,C,$71M,", , , , , , , , , , , , , , , , , , , optronics, natural-language-processing, video"
Anyword,Anyword Marketing Language Optimization Platform,2013,B2B,201-500,B,$30.1M,", , , , , , , , , , content-distribution, online-retailers"
Aperio Systems,Aperio Systems Industrial IoT Data Integrity Solutions,2016,B2B,11-50,A,$22M,", , , , , , , , , , , , , , , , , , , , gas-utilities, industry-4.0, monitoring"
Apex Security,"Apex Security Real-time Detection, Investigation, and Response to Cyberattacks Targeting AI Platforms",2023,B2B,11-50,Seed,$7M,"artificial-intelligence, cyber-security"
ApoWiser,ApoWiser Digital Pharmacist Platform for Advice on OTC Medications,2021,B2B,1-10,Seed,$1.5M,", , , , , , , , artificial-intelligence, social-commerce"
AppCard,AppCard Multi-tier Customer Retention Platform,2011,B2B2C,51-200,Mature,$26.5M,", , , , , , , , , , , , , , , , , business-intelligence, customer-loyalty"
Applitools,Applitools ACQUIRED Automated Visual Software Testing,2013,B2B,51-200,Acquired,$45.75M,", , , , , , , , , , , artificial-intelligence, natural-language-processing"
Appnext,Appnext ACQUIRED Mobile Discovery Platform,2012,B2B,51-200,Acquired,Undisclosed,", , , , , , , , , , , , , , , oem, artificial-intelligence"
Apptor-AI,Apptor-AI Optimizing Business Operations Through Predictive AI Analytics,2024,B2B,1-10,Pre-Seed,$1.5M,", , , , ecommerce, business-intelligence, integration"
Appush,Appush ACQUIRED Connecting Advertisers with Mobile Game Publishers,2015,B2B,11-50,Acquired,Undisclosed,", , , , , , , publishers, machine-learning, adtech"
april,april Embedded Tax Experiences,2021,B2B2C,51-200,A,$40M,"artificial-intelligence, tax-refund, fintech"
AQUALITAS Technologies,AQUALITAS Technologies Real-time Water Quality Monitoring Platform,2020,"B2B, B2G",1-10,Pre-Seed,$600K,", , , , , , , , , , , , , , , water-utilities, maintenance, automation"
Aquant Technologies,Aquant Technologies Predictive AI and Workforce Knowledge Management,2016,B2B,51-200,C,$112.6M,", , , , , , , , , , artificial-intelligence, data-analytics"
AR 51,AR 51 AI-powered Augmented Reality,2019,B2B,11-50,Seed,Undisclosed,", , , , , machine-learning, deep-learning"
Arctop,Arctop Neural Interface Software,2016,"B2B, B2C, B2G",11-50,A,$14M,", , , , , , , , , defense, consumers, developers"
ARpalus,ARpalus AR-based Planogram Solution for Retailers and CPG Manufacturers,2019,B2B,11-50,Pre-Seed,$0,", , , , , , , , , , , , , , , , retail, artificial-intelligence, industry-4.0"
Arpeely,Arpeely Custom Machine Learning and Algorithms for Media and User Acquisition,2017,B2B,51-200,Pre-Funding,Undisclosed,", , , , , , , deep-learning, machine-learning"
Arrows,Arrows Empowering Autism Social Skills Powered by AI,2022,"B2B, B2C, B2G",1-10,Pre-Funding,$150K,", , , , , , , , , , , disabilities, assistive-devices"
ARShow,ARShow Social Augmented-reality Streaming Platform,2017,"B2B, B2C",1-10,Seed,$700K,", , , , , , , , , , entertainment, artificial-intelligence"
ART Medical,ART Medical Nutrition Management Platform,2008,B2B,51-200,C,$61.8M,", , , , , , , , , , , , algorithms, personalization, 3d-imaging"
Artbrain,Artbrain Growth Platform for Auction Houses and Galleries,2018,"B2B, B2B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , personalization, customer-loyalty"
Articoolo Research,Articoolo Research Automatic Text Creation,2014,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , artificial-intelligence, online-retailers"
Artimedia,Artimedia Video Advertising Platform,2008,B2B,11-50,Mature,Undisclosed,", , , , , , , , , , , , , artificial-intelligence, computer-vision, advertisers"
Artlist,Artlist Creative technology company that offers royalty-free digital assets and creative tools for creators.,2016,"B2B, B2C",500+,Seed,$48M,", , , , , , , , , , social-media, video-content"
Arugga AI Farming,Arugga AI Farming Autonomous Robots for Greenhouse Farming,2017,B2B,11-50,A,$10.3M,", , , , automation, robotics, agriculture"
Ascento-CDA,Ascento-CDA Clinical Decision Support Solution for Alzheimer's and Dementia,2023,B2B,1-10,Seed,$100K,", , , digital-healthcare, alzheimers-disease"
Ask-AI,Ask-AI Natural Language Processing Solution,2021,B2B,51-200,A,$20M,", natural-language-processing, artificial-intelligence"
Assured Allies,Assured Allies Longevity Risk Management Platform,2017,B2B,51-200,B,$65M,", , , , , , , , , , , , , , , aging-population, insurance-companies"
AthletAR,AthletAR AI-based Engine for Interactive Sports Broadcasts,2018,B2B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , augmented-reality, user-experience, video"
Atiko Labs,Atiko Labs End-to-end Contamination Sensing Solution,2023,B2B,1-10,Pre-Seed,$2M,", , , , food-industry, nanotechnology, sensors"
ATLASense Biomed,ATLASense Biomed Wearable Solution for Clinical Decision Support,2015,"B2B, B2B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , clinics, medical-device-manufacturers, investors"
Atvisor.ai,Atvisor.ai AI-based Digital Platform for Assistive Technology Consultation,2016,"B2B, B2C",1-10,Seed,$0,", , , , , , , , , , , , , healthcare-providers, digital-therapeutics"
AU10TIX,AU10TIX Identity Verification Solutions,2005,"B2B, B2G",51-200,Mature,$80M,", , , , , , , , , , , , , , , , , , , , , , biometrics, fintech, compliance"
Audioburst,Audioburst AI-based Voice Search Platform,2015,"B2B, B2B2C, B2C",1-10,A,$24.3M,", , , , , , big-data-analytics, artificial-intelligence"
Audioplace.me,Audioplace.me Text To Speech Widget,2020,B2B,1-10,Pre-Funding,Undisclosed,"text-to-speech, artificial-intelligence, publishers"
AugMedics,AugMedics AR Guidance System for Surgical Procedures,2014,B2B,51-200,D,$145M,", , , , , , , , , , , , , , , , virtual-reality, 3d-technology, wearable"
Augmentiqs,Augmentiqs Microscope-based Digital Pathology Solution,2016,B2B,1-10,Seed,$451.5K,", , , , , , , , , , , , , , , , decision-support, telemedicine"
Augmind,Augmind Advancing AR Content Creation,2019,B2B,1-10,Seed,Undisclosed,", , , , , , game-development, 3d-imaging, blockchain"
Augury,Augury Predictive and Prescriptive AI for Industrial Manufacturing,2012,B2B,201-500,E,$294M,", , , , , , , , , , , , , , , , , , , , , water-treatment, monitoring, forestry"
AUI,AUI AI Agent Technology,2017,B2C,51-200,A,$21.2M,", , , , , , , , voice-control, mobile-applications"
Aurora Labs,Aurora Labs AI-based Vehicle Software Intelligence,2016,B2B,51-200,C,$97.5M,", , , , , , , , smart-mobility, connected-vehicles"
Authomize,Authomize ACQUIRED Identity Threat Detection and Response Platform,2019,B2B,1-10,Acquired,$22M,", , , , , cloud, enterprise-solutions"
Autobrains,Autobrains Automotive AI Software for Advanced Driver Assistance and Fully Autonomous Driving Systems,2018,B2B,51-200,C,$131.4M,", , , , , , , , , artificial-intelligence, deep-learning"
Automato Robotics,Automato Robotics Robot Platform for Greenhouses,2018,B2B,1-10,Pre-Seed,$825.49K,", , , , , , , , automation, artificial-intelligence"
Autonomous Pivot,Autonomous Pivot Autonomous Irrigation Fertigation and Crop Protection,2018,B2C,11-50,Seed,$1.9M,", , , , , , , , , , , crops, mobile-applications, agriculture"
AVAMind,AVAMind Chatbot for Psychological Issues,2022,B2C,1-10,Pre-Funding,Undisclosed,", , , mental-health, digital-therapeutics"
Avertto Medical,Avertto Medical Avertto is developng the first medical device with an AI- alert of an impending stroke based on biological mimicry,2019,B2B,1-10,Seed,$3.7M,", , , , , , , , , , , , , , , , , , , , , big-data-analytics, big-data, wellness"
Aviv Scientific,Aviv Scientific Cognitive and Functional Decline Treatment Solutions,2017,B2B,11-50,B,$62M,", , , , , , , , , , , , , , , artificial-intelligence, aging-population"
Axon Vision,Axon Vision AI-based Situational Awareness,2017,"B2B, B2G",11-50,Seed,$1.5M,", , , , , , , , , , , , , , driver-safety, smart-mobility, imaging"
AxonPulse,AxonPulse AI-based Radar Perception,2019,B2B,11-50,Seed,$4.6M,", , , , , , adas, deep-neural-networks, automotive"
Ayyeka,Ayyeka Data Management Solution for Remote Infrastructure Assets,2015,"B2B, B2G",11-50,Pre-Funding,$0,", , , , , , , , , , , , , , , , , , , , , , , , , automation, artificial-intelligence"
B24chat,B24chat Omnichannel Conversational AI Platform for Retail and Ecommerce,2018,"B2B, B2B2C, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , shopping-experience, web-platform"
Baseline Vision,Baseline Vision Feedback and Statistics Platform for Tennis Players,2018,B2C,1-10,Seed,$3.7M,", , , , sports-tech, machine-learning, sports"
Beaconcure,Beaconcure Automated Clinical Data Validation for Regulatory Submissions,2016,B2B,11-50,B,$17.9M,", , , , , , , , , , , , , , software-development, cloud-based"
BeCare,BeCare The Freedom to Focus,2023,B2B,1-10,Pre-Funding,Undisclosed,", , patient-engagement, artificial-intelligence, productivity"
BeeFree Agro,BeeFree Agro Autonomous Drone Solutions for Precision Livestock Management,2020,"B2B, B2B2C, B2G",11-50,Seed,$3.94M,", , , , , , , , , , , data-analytics, robotic-process-automation"
Beewise,Beewise Robotic Beehives,2018,B2B,51-200,C,$124.3M,", , , , , , , , , , , , , , , , iot, real-time, machine-learning"
Beewizer,Beewizer Smart Debt Collection Accelerator for Enterprises,2018,B2B2C,1-10,Pre-Funding,Undisclosed,", , , , accounting, communications"
Belong,Belong Social and Professional Network for Patients,2014,"B2B, B2C",51-200,B,$35M,", , , , , , , , , , , , , , , , , , , , , , , , oncology, content-management"
Benicann-Global,Benicann-Global Identification and Sorting Technology for Cannabis Growers,2020,B2B,1-10,Pre-Seed,$300K,", , artificial-intelligence, deep-learning, agtech"
BestBrain,BestBrain Cognitive Self-care Solutions,2016,"B2B, B2C",1-10,Seed,Undisclosed,", , , , , , , , , , , , , artificial-intelligence, autism, home-care"
Beteende,Beteende AI-driven Member Experience Management for Health Plans,2023,B2B,1-10,Pre-Seed,Undisclosed,", patient-engagement, artificial-intelligence"
Bettear,Bettear AI-powered Assistive Listening Solution,2020,B2B,11-50,A,$4.85M,", , , , , , , , , , , , artificial-intelligence, accessibility"
BetterTrader.co,BetterTrader.co Real-time Trading Insights,2011,"B2B, B2C",1-10,Mature,Undisclosed,", , , , , , , , , , , machine-learning, actionable-insights"
Beyeonics,Beyeonics Surgical Visualization Technologies,2018,B2B,51-200,B,$11.5M,", , , , , , , , , , , , optronics, decision-support"
Beyond Virtual,Beyond Virtual A platform for building AI-based virtual humans - for educational use cases and more.,2022,"B2B, B2B2C",1-10,Seed,$500K,", , , , , , , , , , virtual-assistant, artificial-intelligence"
BI.P.EYE,BI.P.EYE Business Intelligence Platform for APIs,2021,B2B,1-10,Pre-Funding,Undisclosed,", business-intelligence, artificial-intelligence, big-data"
BidGemmer,BidGemmer Technology for Diamond and Gemstone Companies,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , mining, jewelry, saas"
BidShake,BidShake ACQUIRED Multichannel Marketing Automation Platform for Mobile Games and Apps,2020,B2B,1-10,Acquired,Undisclosed,", , , , , , , , , , , , campaign-optimization, mobile-applications, marketing"
Bigabid,Bigabid Performance Marketing in Mobile Advertising,2016,B2B,51-200,Seed,$2M,", , , , , , , , , , , , , behavior-analytics, mobile-applications, developers"
BigPanda,BigPanda IT Alert Consolidation,2011,B2B,201-500,E,$327.55M,", , , , , , , , , , , , , , enterprise-solutions, artificial-intelligence"
BinaBo,BinaBo AI-based Employee Retention Solution,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , enterprises, artificial-intelligence"
Binah.ai,Binah.ai AI-powered Video-based Health and Wellness Monitoring,2016,"B2B, B2B2C, B2C, B2G",51-200,C,$34.19M,", , , , , , , , , , , , , , , , emergency-response, insurance-companies, vital-signs"
BioCatch,BioCatch ACQUIRED Al-driven Behavioral Biometrics for Cybersecurity,2010,B2B,201-500,Acquired,$214.62M,", , , , , , , , , , , , , , identity-verification, unicorn-2023"
BioEye,BioEye Monitoring Cognitive States through the Eyes,2014,"B2B, B2C",1-10,Pre-Seed,$200K,", , , , , , , , , , , , , , , , digital-healthcare, early-detection"
Biogradient,Biogradient Digital Sensor-based System for Maximizing Personalized Physiological Capabilities,2019,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , pulmonary, physiological-parameters"
Bioled Eco Light Systems,Bioled Eco Light Systems Horticultural LED Lighting Solutions,2019,"B2B, B2C",1-10,Seed,$1M,", , , , , , , , , , , , , , , , , , precision-agriculture, machine-learning"
Biolojic Design,Biolojic Design Human Antibody Therapeutics,2010,B2B,51-200,Seed,$3.95M,", , , , , , , , , , , , artificial-intelligence, pharma-companies"
BioRaptor,BioRaptor AI-powered Insight Platform,2021,B2B,11-50,Seed,$3M,", decision-support, biotechnology"
BioT,BioT Effortless Compliance for Health Tech AI Applications,2020,B2B,11-50,Seed,$8.76M,", , , , , , , , , , , , , , , , , , , , , , , , , , cloud, medical-technologies"
BiotaX Labs,BiotaX Labs Decoding Precision Medicine,2020,B2B,1-10,Seed,Undisclosed,", , , , , , , , , , diagnostics, medical-technologies"
BioXtreme,BioXtreme Stroke Rehabilitation Robotics,2010,B2B,11-50,Seed,$5.67M,", , , , , , , , , , , , , optronics, digital-therapeutics, treatments"
Bit,Bit Composable Software Development Platform,2014,"B2B, B2C",51-200,B,$25.9M,", , , , , developers, web-development"
BitMint,BitMint Socially Conscious Quantum Cybersecurity Solutions,2011,"B2B, B2B2C, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , data-protection, network-security"
Bitravel,Bitravel AI-powered Business Travel Marketplace,2021,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , traveltech, bpm, airlines, smb"
Black Ore,Black Ore Transformative AI for Financial Services,2022,B2B,1-10,Seed,$60M,"fintech, artificial-intelligence, accounting"
Bladeranger,Bladeranger PUBLIC Drone based cleaning and analytics Solutions for Solar Panels,2015,B2B,11-50,Public,$10.75M,", , , , , , , , , , , artificial-intelligence, panel-performance, robotics"
